                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.392,                 3.3388,                 1.2253,                0.41672,                0.44273,                0.32686,                0.10612,                 2.5022,                 4.6793,                 1.0505,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3214,                 1.9554,                 1.1693,                0.42078,                  0.364,                0.28989,                0.09268,                 2.6877,                 3.4834,                 1.1075,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.4402,                 2.0452,                 1.2088,                0.44841,                0.42297,                0.35013,                0.11378,                 2.4648,                 2.4635,                 1.0762,              0.0097966,              0.0097966,              0.0097966
                      4,                 2.4523,                  2.032,                  1.231,                0.38067,                0.37882,                0.28786,                0.10071,                 2.5889,                 5.1819,                  1.103,               0.009703,               0.009703,               0.009703
                      5,                 2.3912,                 1.9236,                 1.2074,                0.50406,                0.42958,                0.38668,                0.14064,                 2.5113,                 2.7889,                 1.0918,               0.009604,               0.009604,               0.009604
                      6,                 2.3368,                 1.8518,                 1.1924,                 0.5353,                0.46002,                0.42312,                0.15265,                 2.3991,                 2.2191,                 1.0669,               0.009505,               0.009505,               0.009505
                      7,                 2.2827,                 1.7838,                 1.1712,                0.54469,                0.45415,                0.44372,                0.16114,                 2.3377,                 2.0113,                 1.0315,               0.009406,               0.009406,               0.009406
                      8,                 2.2603,                 1.7253,                 1.1606,                0.57394,                0.45724,                0.44016,                0.15543,                 2.3476,                 2.3084,                 1.0615,               0.009307,               0.009307,               0.009307
                      9,                 2.1999,                 1.6907,                 1.1504,                0.60271,                0.50022,                0.49637,                0.18233,                 2.2601,                 1.8039,                 1.0129,               0.009208,               0.009208,               0.009208
                     10,                 2.2017,                 1.6634,                   1.14,                 0.5621,                0.46002,                0.42132,                0.15326,                 2.4085,                 2.1838,                 1.0569,               0.009109,               0.009109,               0.009109
                     11,                 2.1977,                 1.6362,                 1.1427,                0.60354,                0.50103,                0.49479,                0.17829,                 2.2558,                 1.7244,                 1.0274,                0.00901,                0.00901,                0.00901
                     12,                 2.1534,                 1.6151,                 1.1337,                0.58555,                0.49552,                0.50831,                0.19054,                 2.2438,                 1.6058,                 1.0093,               0.008911,               0.008911,               0.008911
                     13,                 2.1578,                 1.5809,                 1.1238,                0.65212,                0.51219,                0.53326,                  0.207,                 2.1512,                  1.598,                 1.0115,               0.008812,               0.008812,               0.008812
