                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 4.1773,                 2.9242,                 2.0788,                0.66222,                0.56067,                0.59279,                0.24829,                 4.0533,                 2.5199,                   1.89,               0.006634,               0.006634,               0.006634
                     36,                 4.2028,                 2.9433,                 2.0727,                0.65014,                 0.5456,                0.59135,                0.24912,                 4.0645,                  2.596,                 1.8979,               0.006535,               0.006535,               0.006535
                     37,                 4.1715,                 2.9341,                  2.078,                0.65004,                0.54893,                0.58765,                0.24604,                 4.0469,                 2.5373,                 1.8839,               0.006436,               0.006436,               0.006436
                     38,                 4.1197,                 2.8864,                 2.0688,                 0.6586,                0.54793,                 0.5917,                 0.2531,                 3.9906,                 2.5384,                 1.8859,               0.006337,               0.006337,               0.006337
                     39,                 4.1284,                  2.855,                 2.0651,                0.68116,                0.54746,                 0.6014,                0.25302,                  4.021,                 2.4949,                 1.8838,               0.006238,               0.006238,               0.006238
                     40,                 4.1125,                  2.868,                 2.0593,                0.65706,                0.57518,                0.61489,                0.26186,                 3.9436,                 2.4032,                 1.8727,               0.006139,               0.006139,               0.006139
                     41,                 4.1168,                 2.8543,                 2.0562,                0.66223,                0.56406,                0.60608,                0.25943,                  3.936,                  2.463,                 1.8759,                0.00604,                0.00604,                0.00604
                     42,                  4.107,                 2.8359,                 2.0477,                0.66353,                0.55295,                0.60211,                0.26095,                 3.9332,                 2.4723,                 1.8734,               0.005941,               0.005941,               0.005941
                     43,                 4.1022,                 2.8214,                 2.0495,                0.67296,                0.55912,                0.61082,                0.26256,                 3.9675,                 2.4877,                 1.8747,               0.005842,               0.005842,               0.005842
                     44,                 4.1088,                 2.8259,                 2.0492,                0.64261,                0.57122,                0.59755,                0.25693,                 3.9398,                 2.4876,                 1.8702,               0.005743,               0.005743,               0.005743
                     45,                 4.0704,                 2.7713,                  2.044,                0.66046,                0.57291,                0.62173,                0.26963,                 3.9528,                  2.449,                 1.8765,               0.005644,               0.005644,               0.005644
                     46,                 4.0897,                 2.8101,                 2.0492,                0.65463,                0.56314,                0.61026,                0.26525,                 3.9501,                 2.4739,                 1.8643,               0.005545,               0.005545,               0.005545
                     47,                 4.0554,                 2.7745,                 2.0423,                 0.6696,                0.57796,                0.62411,                 0.2727,                  3.901,                 2.3958,                 1.8599,               0.005446,               0.005446,               0.005446
                     48,                 4.0417,                  2.771,                  2.041,                0.67221,                0.57045,                0.62018,                0.27224,                 3.9056,                 2.3318,                 1.8595,               0.005347,               0.005347,               0.005347
                     49,                 4.0459,                 2.7552,                 2.0341,                0.67976,                0.57363,                0.62628,                0.27521,                 3.8908,                 2.3854,                 1.8604,               0.005248,               0.005248,               0.005248
                     50,                 4.0746,                 2.7798,                 2.0424,                0.67901,                0.57929,                0.63061,                0.27723,                  3.868,                 2.4108,                 1.8571,               0.005149,               0.005149,               0.005149
