                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8982,                 1.2516,                 1.0489,                0.71245,                0.58977,                0.65766,                0.28314,                 1.9276,                 1.1987,                0.97443,               0.006733,               0.006733,               0.006733
                     36,                 1.8891,                 1.2397,                 1.0401,                0.70962,                0.58848,                0.65297,                0.28996,                 1.9196,                 1.1744,                0.97347,               0.006634,               0.006634,               0.006634
                     37,                 1.8681,                 1.2233,                 1.0392,                0.69481,                0.59816,                0.65528,                0.28888,                 1.9056,                 1.1574,                0.96009,               0.006535,               0.006535,               0.006535
                     38,                 1.8674,                 1.2224,                  1.038,                0.71726,                0.58976,                0.65773,                0.28737,                 1.8902,                 1.1615,                0.96704,               0.006436,               0.006436,               0.006436
                     39,                 1.8715,                 1.2417,                 1.0371,                0.69495,                0.59185,                0.65538,                0.28726,                 1.8801,                 1.1536,                 0.9594,               0.006337,               0.006337,               0.006337
                     40,                 1.8688,                  1.226,                 1.0424,                 0.7044,                0.61506,                0.66268,                0.29394,                 1.8978,                 1.1642,                0.97095,               0.006238,               0.006238,               0.006238
                     41,                 1.8509,                 1.2113,                 1.0308,                0.69569,                 0.6113,                 0.6637,                0.29404,                 1.8985,                 1.1788,                0.96542,               0.006139,               0.006139,               0.006139
                     42,                 1.8548,                 1.2105,                 1.0292,                0.71749,                0.61159,                0.66695,                0.29859,                 1.8767,                 1.1671,                0.96033,                0.00604,                0.00604,                0.00604
                     43,                 1.8297,                 1.1947,                 1.0293,                0.71032,                0.61408,                0.66654,                0.29834,                 1.8904,                 1.1658,                0.96428,               0.005941,               0.005941,               0.005941
                     44,                 1.8382,                  1.194,                 1.0208,                0.73786,                 0.6113,                 0.6715,                0.30317,                 1.8718,                 1.1522,                0.96181,               0.005842,               0.005842,               0.005842
                     45,                 1.8254,                   1.17,                 1.0248,                0.73418,                 0.6042,                0.67707,                0.30561,                 1.8802,                 1.1435,                0.95881,               0.005743,               0.005743,               0.005743
                     46,                 1.8277,                 1.1735,                 1.0257,                0.72037,                0.61242,                0.67237,                0.30139,                 1.8793,                 1.1435,                0.95892,               0.005644,               0.005644,               0.005644
                     47,                  1.815,                 1.1545,                 1.0153,                0.73638,                0.60713,                  0.676,                0.30721,                 1.8708,                 1.1316,                0.95725,               0.005545,               0.005545,               0.005545
                     48,                 1.8082,                  1.152,                 1.0149,                0.73021,                0.62755,                0.68498,                0.31332,                  1.846,                 1.1086,                0.94846,               0.005446,               0.005446,               0.005446
                     49,                   1.79,                 1.1293,                 1.0134,                0.72756,                0.61178,                0.67527,                0.30844,                 1.8393,                 1.1152,                0.95827,               0.005347,               0.005347,               0.005347
                     50,                 1.8105,                 1.1343,                 1.0156,                0.73422,                0.61624,                0.67702,                 0.3098,                 1.8614,                 1.1097,                0.95948,               0.005248,               0.005248,               0.005248
                     51,                 1.7914,                 1.1185,                 1.0102,                0.70586,                0.63137,                0.68246,                0.31187,                 1.8592,                 1.1134,                0.95758,               0.005149,               0.005149,               0.005149
                     52,                 1.7852,                 1.1125,                 1.0086,                0.74148,                0.61747,                0.68809,                0.31579,                 1.8514,                 1.0961,                0.96157,                0.00505,                0.00505,                0.00505
                     53,                 1.7877,                 1.1142,                 1.0068,                 0.7166,                0.62705,                0.67684,                0.31413,                  1.846,                 1.0855,                 0.9574,               0.004951,               0.004951,               0.004951
                     54,                 1.7718,                 1.0962,                 1.0047,                0.71885,                0.62913,                0.68454,                0.31574,                 1.8505,                 1.0778,                0.95361,               0.004852,               0.004852,               0.004852
                     55,                 1.7568,                 1.0944,                 1.0057,                0.70499,                0.62643,                0.68184,                0.31665,                 1.8547,                 1.0819,                0.95781,               0.004753,               0.004753,               0.004753
                     56,                 1.7542,                 1.0848,                 1.0059,                0.71495,                0.63421,                0.68715,                0.31854,                 1.8502,                 1.0794,                0.95496,               0.004654,               0.004654,               0.004654
                     57,                 1.7571,                 1.0768,                 1.0031,                0.71606,                0.63847,                0.69103,                0.32039,                 1.8537,                 1.0921,                0.95502,               0.004555,               0.004555,               0.004555
                     58,                 1.7324,                 1.0523,                 1.0023,                0.72545,                0.63847,                0.69403,                0.32281,                 1.8511,                 1.0861,                0.95818,               0.004456,               0.004456,               0.004456
