                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4683,                 3.7258,                  1.258,                0.35355,                0.35474,                0.23951,                 0.0727,                 2.5649,                 3.8045,                 1.0787,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3881,                 2.3075,                 1.1887,                0.41332,                0.39978,                0.29753,                0.08972,                 2.4759,                 2.1585,                 1.0739,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.4828,                 2.1696,                 1.2263,                0.23041,                0.16332,                0.10334,                0.02963,                 2.8753,                 11.359,                 1.2061,              0.0097966,              0.0097966,              0.0097966
                      4,                 2.4865,                 2.0533,                 1.2467,                0.38435,                 0.3674,                0.25527,                0.07579,                 2.5483,                 2.1528,                 1.0557,               0.009703,               0.009703,               0.009703
                      5,                 2.3973,                 1.9366,                 1.2169,                0.46631,                0.44211,                0.37346,                 0.1383,                 2.4746,                 2.1987,                 1.0939,               0.009604,               0.009604,               0.009604
                      6,                 2.3645,                  1.892,                 1.1985,                0.48493,                0.39796,                0.34744,                0.11871,                 2.6852,                 5.7089,                 1.1198,               0.009505,               0.009505,               0.009505
                      7,                 2.3176,                 1.8222,                 1.1778,                0.57775,                0.46249,                 0.4467,                0.16143,                 2.2708,                 1.7299,                 1.0259,               0.009406,               0.009406,               0.009406
                      8,                 2.2932,                 1.7887,                  1.172,                0.56262,                0.40877,                0.40148,                0.14422,                 2.4912,                 2.1535,                 1.0776,               0.009307,               0.009307,               0.009307
                      9,                 2.2508,                 1.7436,                 1.1733,                0.56549,                0.46369,                0.44264,                0.15476,                 2.2685,                  1.796,                  1.016,               0.009208,               0.009208,               0.009208
                     10,                 2.2393,                 1.7275,                 1.1533,                 0.5885,                 0.4699,                0.45336,                0.16718,                 2.2844,                 2.1982,                 1.0185,               0.009109,               0.009109,               0.009109
                     11,                 2.2374,                 1.6904,                 1.1456,                0.58807,                0.48503,                0.45627,                0.15928,                 2.2593,                 1.7269,                 1.0294,                0.00901,                0.00901,                0.00901
                     12,                  2.194,                 1.6778,                 1.1435,                0.61182,                0.48348,                 0.4966,                0.17615,                  2.264,                 1.7108,                 1.0221,               0.008911,               0.008911,               0.008911
                     13,                 2.1993,                 1.6448,                 1.1376,                0.60109,                0.49861,                0.50675,                0.19195,                 2.1736,                 1.5476,                0.99846,               0.008812,               0.008812,               0.008812
                     14,                 2.1756,                   1.63,                 1.1287,                0.58969,                0.51026,                0.50934,                0.19993,                 2.1952,                    1.6,                 1.0069,               0.008713,               0.008713,               0.008713
                     15,                 2.1707,                 1.6272,                 1.1261,                0.59539,                0.52362,                0.51751,                0.19319,                 2.1642,                 1.5335,                0.99157,               0.008614,               0.008614,               0.008614
                     16,                  2.151,                  1.592,                 1.1272,                0.63746,                0.51127,                0.52798,                0.19938,                 2.2108,                 1.5843,                 1.0125,               0.008515,               0.008515,               0.008515
                     17,                 2.1458,                 1.5976,                 1.1184,                0.62959,                0.51164,                0.52274,                0.19893,                 2.2088,                 1.4878,                 1.0048,               0.008416,               0.008416,               0.008416
                     18,                 2.1257,                 1.5588,                 1.1165,                0.62993,                0.50975,                0.52384,                0.20672,                  2.164,                 1.4134,                0.99295,               0.008317,               0.008317,               0.008317
                     19,                 2.1227,                 1.5526,                 1.1136,                0.60502,                0.52887,                0.54578,                0.21329,                 2.0955,                 1.4039,                0.97465,               0.008218,               0.008218,               0.008218
                     20,                 2.1167,                 1.5485,                 1.1138,                0.64968,                0.51621,                0.54534,                0.21168,                  2.127,                 1.4443,                0.99107,               0.008119,               0.008119,               0.008119
                     21,                 2.1041,                 1.5273,                 1.1078,                0.64571,                0.52918,                0.54055,                 0.2146,                 2.1324,                 1.4467,                0.99206,                0.00802,                0.00802,                0.00802
                     22,                 2.1037,                 1.5171,                 1.1049,                0.64786,                 0.5264,                0.56182,                0.22483,                 2.1096,                 1.3877,                0.98656,               0.007921,               0.007921,               0.007921
                     23,                 2.0885,                 1.5128,                 1.1099,                0.61037,                0.53597,                0.54484,                 0.2137,                 2.0892,                  1.422,                0.98386,               0.007822,               0.007822,               0.007822
                     24,                 2.0858,                 1.5104,                 1.1012,                0.62269,                0.53998,                0.55847,                0.21686,                 2.0919,                 1.4699,                0.98632,               0.007723,               0.007723,               0.007723
                     25,                 2.0852,                 1.5004,                 1.0974,                0.65737,                0.54969,                0.57613,                0.22978,                 2.1061,                 1.4093,                0.98297,               0.007624,               0.007624,               0.007624
                     26,                 2.0856,                 1.4946,                 1.0979,                0.66889,                0.54461,                0.58727,                0.23529,                 2.0723,                 1.3688,                0.98086,               0.007525,               0.007525,               0.007525
                     27,                 2.0543,                 1.4512,                 1.0951,                0.66463,                0.53597,                0.58092,                0.23945,                 2.0522,                  1.338,                0.97339,               0.007426,               0.007426,               0.007426
                     28,                 2.0649,                 1.4696,                 1.0863,                0.67651,                0.54492,                0.58262,                 0.2356,                 2.0307,                 1.4273,                0.96549,               0.007327,               0.007327,               0.007327
                     29,                 2.0617,                 1.4628,                 1.0894,                0.65469,                0.54893,                0.58531,                0.23403,                 2.0632,                 1.4333,                0.98138,               0.007228,               0.007228,               0.007228
                     30,                 2.0533,                 1.4547,                 1.0898,                0.66121,                0.56098,                0.59524,                0.24316,                 2.0254,                 1.3656,                0.96913,               0.007129,               0.007129,               0.007129
                     31,                 2.0446,                 1.4498,                 1.0913,                0.65616,                0.57425,                0.59707,                 0.2409,                 2.0205,                 1.3779,                0.96524,                0.00703,                0.00703,                0.00703
                     32,                 2.0271,                 1.4367,                 1.0858,                0.65936,                0.55696,                0.59009,                0.24194,                 2.0244,                 1.3569,                0.97016,               0.006931,               0.006931,               0.006931
                     33,                 2.0274,                 1.4366,                 1.0864,                0.65293,                0.55079,                0.59731,                0.24806,                 2.0006,                 1.3356,                0.95476,               0.006832,               0.006832,               0.006832
                     34,                 2.0225,                 1.4004,                 1.0808,                0.68145,                0.56839,                0.60837,                0.25357,                 2.0003,                 1.3522,                 0.9642,               0.006733,               0.006733,               0.006733
                     35,                 2.0122,                    1.4,                 1.0762,                0.70389,                0.56746,                0.61918,                0.25401,                 2.0057,                 1.3304,                0.96586,               0.006634,               0.006634,               0.006634
                     36,                 2.0352,                 1.4192,                 1.0782,                0.68257,                0.55758,                0.60889,                0.25011,                 2.0097,                 1.3038,                0.96812,               0.006535,               0.006535,               0.006535
                     37,                 2.0139,                 1.4052,                   1.08,                0.66698,                0.57549,                0.61116,                0.25587,                 1.9939,                 1.3066,                 0.9669,               0.006436,               0.006436,               0.006436
                     38,                  1.985,                 1.3812,                 1.0756,                0.69341,                0.57333,                0.62507,                0.26444,                 1.9601,                 1.2982,                0.95809,               0.006337,               0.006337,               0.006337
                     39,                  1.985,                 1.3611,                 1.0692,                0.67013,                0.57139,                0.61644,                0.26069,                 1.9709,                 1.2829,                0.95959,               0.006238,               0.006238,               0.006238
                     40,                 1.9896,                 1.3745,                 1.0699,                0.68931,                0.57209,                0.62465,                0.26047,                 1.9615,                 1.2846,                0.95811,               0.006139,               0.006139,               0.006139
                     41,                 1.9846,                 1.3708,                 1.0694,                0.67742,                0.58104,                0.62548,                0.26315,                 1.9721,                 1.2806,                0.95769,                0.00604,                0.00604,                0.00604
                     42,                 1.9871,                 1.3651,                 1.0659,                0.67344,                0.58893,                0.62844,                0.27081,                 1.9416,                  1.294,                0.95282,               0.005941,               0.005941,               0.005941
                     43,                 1.9707,                 1.3405,                  1.063,                0.69956,                0.57209,                0.62551,                 0.2655,                 1.9581,                  1.274,                0.95866,               0.005842,               0.005842,               0.005842
                     44,                 1.9707,                 1.3408,                 1.0595,                0.69936,                0.57887,                0.62716,                0.26684,                 1.9524,                  1.274,                0.95277,               0.005743,               0.005743,               0.005743
                     45,                  1.954,                 1.3237,                 1.0596,                0.68679,                0.57672,                0.62521,                0.26796,                 1.9544,                 1.2516,                0.95506,               0.005644,               0.005644,               0.005644
                     46,                 1.9663,                 1.3414,                 1.0583,                0.69341,                0.57327,                0.62909,                0.26935,                  1.945,                 1.2884,                0.95791,               0.005545,               0.005545,               0.005545
                     47,                 1.9572,                 1.3287,                 1.0605,                0.69108,                0.58155,                 0.6357,                0.27553,                 1.9268,                 1.2516,                0.95225,               0.005446,               0.005446,               0.005446
                     48,                 1.9429,                 1.3302,                 1.0567,                0.69442,                0.58135,                0.63634,                0.27106,                 1.9393,                 1.2208,                0.95181,               0.005347,               0.005347,               0.005347
                     49,                  1.941,                 1.3126,                 1.0539,                 0.6915,                0.58269,                0.63521,                0.27539,                 1.9214,                 1.2547,                0.94697,               0.005248,               0.005248,               0.005248
                     50,                 1.9585,                 1.3167,                 1.0585,                0.69408,                0.58489,                0.63824,                0.27612,                 1.9176,                 1.2673,                0.94335,               0.005149,               0.005149,               0.005149
                     51,                 1.9467,                 1.3096,                  1.054,                0.70285,                 0.5829,                0.63916,                0.27666,                 1.9039,                 1.2455,                0.94529,                0.00505,                0.00505,                0.00505
                     52,                 1.9265,                 1.2874,                 1.0474,                0.71283,                0.57425,                0.63799,                0.28092,                 1.9176,                 1.2376,                0.94657,               0.004951,               0.004951,               0.004951
                     53,                 1.9162,                 1.2916,                 1.0461,                0.70519,                0.58104,                0.63792,                 0.2795,                 1.9032,                 1.2508,                0.94368,               0.004852,               0.004852,               0.004852
                     54,                 1.9235,                 1.2869,                  1.048,                0.69761,                0.59261,                0.63691,                0.28023,                 1.9093,                 1.2443,                0.94361,               0.004753,               0.004753,               0.004753
                     55,                 1.9102,                 1.2699,                 1.0458,                0.69074,                0.58969,                 0.6407,                0.28319,                 1.9097,                 1.2178,                0.94489,               0.004654,               0.004654,               0.004654
                     56,                 1.9087,                 1.2792,                 1.0459,                0.69796,                0.59278,                0.64815,                0.28433,                 1.9015,                 1.1997,                0.94334,               0.004555,               0.004555,               0.004555
                     57,                 1.9031,                 1.2684,                 1.0393,                0.69428,                0.58753,                0.64636,                0.28494,                 1.9065,                 1.2169,                0.94422,               0.004456,               0.004456,               0.004456
                     58,                 1.8934,                 1.2527,                 1.0381,                0.69675,                0.59679,                0.65193,                0.28665,                 1.9063,                 1.1902,                0.94184,               0.004357,               0.004357,               0.004357
                     59,                 1.8965,                 1.2599,                  1.039,                 0.7065,                0.59306,                0.65367,                0.29029,                  1.877,                 1.1764,                0.93688,               0.004258,               0.004258,               0.004258
