                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4548,                 3.6262,                 1.2425,                0.36597,                0.39302,                0.26889,                0.08424,                 2.4145,                 3.9608,                 1.0468,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3863,                 2.2707,                 1.1958,                0.44599,                0.40352,                0.31773,                0.09822,                 2.5009,                 2.1884,                  1.068,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.4491,                 2.1332,                 1.2193,                0.44982,                0.37542,                0.30268,                0.09474,                 2.5058,                 2.6342,                 1.0886,              0.0097966,              0.0097966,              0.0097966
                      4,                 2.4637,                 2.0365,                 1.2354,                0.45028,                0.38839,                0.32071,                0.09735,                  2.484,                 3.8927,                 1.0695,               0.009703,               0.009703,               0.009703
                      5,                 2.3816,                  1.925,                 1.1993,                0.50354,                0.41124,                0.35387,                 0.1149,                  2.468,                 2.2432,                 1.0772,               0.009604,               0.009604,               0.009604
                      6,                 2.3396,                 1.8693,                 1.1912,                0.54238,                0.44736,                0.43256,                0.16343,                 2.3278,                 1.8086,                 1.0307,               0.009505,               0.009505,               0.009505
                      7,                 2.2954,                 1.7897,                 1.1714,                0.54429,                0.47978,                 0.4492,                0.16815,                 2.2944,                 1.7158,                   1.03,               0.009406,               0.009406,               0.009406
                      8,                 2.2731,                 1.7547,                   1.16,                0.59102,                0.44613,                0.45173,                0.17275,                 2.3327,                 1.7025,                 1.0376,               0.009307,               0.009307,               0.009307
                      9,                 2.2194,                 1.7228,                 1.1524,                0.60319,                0.49398,                0.48758,                0.17532,                 2.2162,                 1.8958,                 1.0091,               0.009208,               0.009208,               0.009208
                     10,                 2.2149,                 1.6937,                 1.1413,                0.58649,                0.48441,                0.45862,                0.15909,                 2.3116,                 2.1659,                 1.0353,               0.009109,               0.009109,               0.009109
                     11,                 2.2148,                  1.664,                 1.1414,                0.59532,                0.50867,                0.50942,                0.18375,                 2.2134,                 1.6561,                 1.0086,                0.00901,                0.00901,                0.00901
                     12,                 2.1755,                 1.6524,                 1.1346,                0.57376,                0.49521,                0.50019,                0.18469,                  2.245,                 1.5583,                 1.0161,               0.008911,               0.008911,               0.008911
                     13,                 2.1813,                 1.6229,                 1.1292,                0.61307,                0.49552,                0.51248,                0.19564,                 2.2107,                 1.6607,                0.99836,               0.008812,               0.008812,               0.008812
                     14,                 2.1544,                 1.5988,                 1.1217,                0.58099,                0.50448,                0.50466,                0.20265,                 2.1908,                 1.5129,                 1.0075,               0.008713,               0.008713,               0.008713
                     15,                   2.15,                 1.5884,                 1.1181,                0.60814,                0.49954,                0.50765,                0.18607,                 2.1989,                 1.6014,                 1.0001,               0.008614,               0.008614,               0.008614
                     16,                   2.12,                 1.5657,                 1.1156,                0.62084,                  0.523,                0.53802,                0.21034,                  2.122,                  1.498,                0.99303,               0.008515,               0.008515,               0.008515
                     17,                 2.1234,                 1.5647,                 1.1138,                 0.6361,                0.52701,                0.53455,                0.19926,                 2.2558,                 1.6016,                 1.0158,               0.008416,               0.008416,               0.008416
                     18,                 2.0969,                 1.5244,                  1.107,                  0.624,                0.51158,                0.52537,                0.20733,                 2.1252,                 1.4399,                 1.0013,               0.008317,               0.008317,               0.008317
                     19,                 2.0997,                 1.5221,                 1.1039,                0.62172,                0.52732,                 0.5561,                0.22512,                 2.0718,                 1.4158,                0.97369,               0.008218,               0.008218,               0.008218
                     20,                 2.0882,                   1.52,                 1.1054,                0.65886,                0.52711,                0.56012,                0.22369,                 2.1277,                  1.484,                0.98633,               0.008119,               0.008119,               0.008119
                     21,                 2.0786,                 1.4983,                 1.0968,                0.66039,                0.53493,                0.57566,                0.23285,                 2.0993,                 1.4294,                0.98507,                0.00802,                0.00802,                0.00802
                     22,                 2.0664,                 1.4844,                 1.0929,                 0.6273,                0.52794,                0.56323,                0.23104,                 2.0908,                 1.3954,                 0.9835,               0.007921,               0.007921,               0.007921
                     23,                 2.0604,                 1.4894,                 1.0958,                0.62509,                0.52856,                0.56254,                0.22418,                 2.0779,                 1.4414,                0.98033,               0.007822,               0.007822,               0.007822
                     24,                 2.0641,                 1.4789,                 1.0894,                0.64739,                0.53844,                0.57912,                0.23847,                 2.0214,                  1.371,                0.97108,               0.007723,               0.007723,               0.007723
                     25,                 2.0515,                 1.4648,                 1.0848,                 0.6653,                0.55789,                  0.587,                0.23589,                 2.0753,                 1.4172,                0.97511,               0.007624,               0.007624,               0.007624
                     26,                 2.0531,                 1.4623,                 1.0844,                0.66444,                0.54708,                0.59267,                0.23705,                 2.0622,                 1.3237,                0.97769,               0.007525,               0.007525,               0.007525
                     27,                 2.0291,                 1.4256,                 1.0855,                0.68343,                0.56159,                0.59899,                0.24517,                 2.0606,                 1.3785,                 0.9707,               0.007426,               0.007426,               0.007426
                     28,                 2.0293,                 1.4311,                 1.0788,                0.68901,                0.54584,                0.59883,                0.24653,                 2.0123,                 1.3608,                0.96547,               0.007327,               0.007327,               0.007327
                     29,                 2.0225,                 1.4286,                  1.075,                0.69046,                0.55727,                0.61033,                0.25017,                 2.0308,                 1.3158,                0.97204,               0.007228,               0.007228,               0.007228
                     30,                 2.0199,                 1.4285,                 1.0784,                0.70106,                0.56345,                0.61278,                0.25255,                 1.9909,                 1.3247,                0.95814,               0.007129,               0.007129,               0.007129
                     31,                 2.0106,                 1.4255,                 1.0756,                0.70945,                0.56283,                0.61457,                 0.2518,                 1.9793,                 1.3389,                0.96307,                0.00703,                0.00703,                0.00703
                     32,                 1.9911,                 1.3984,                 1.0693,                 0.6945,                0.55634,                 0.6057,                0.25544,                 2.0103,                 1.3491,                0.96879,               0.006931,               0.006931,               0.006931
                     33,                 1.9978,                 1.3986,                 1.0728,                0.69428,                0.55573,                0.61992,                0.26421,                 2.0172,                 1.2909,                0.96463,               0.006832,               0.006832,               0.006832
                     34,                 1.9858,                 1.3774,                 1.0652,                0.67981,                0.57302,                0.62168,                0.26442,                 1.9717,                 1.2833,                0.95876,               0.006733,               0.006733,               0.006733
                     35,                 1.9736,                 1.3618,                 1.0631,                0.70521,                0.56499,                0.62661,                0.26821,                 1.9722,                 1.3017,                 0.9609,               0.006634,               0.006634,               0.006634
                     36,                 1.9993,                 1.3804,                  1.064,                0.69123,                 0.5724,                0.61761,                0.26414,                 1.9583,                 1.2951,                0.96157,               0.006535,               0.006535,               0.006535
                     37,                 1.9758,                 1.3706,                  1.066,                0.69076,                0.57672,                0.62481,                0.26609,                 1.9717,                 1.3069,                0.96086,               0.006436,               0.006436,               0.006436
                     38,                 1.9537,                 1.3515,                  1.063,                0.70541,                0.57886,                0.63338,                0.27345,                 1.9346,                 1.2904,                0.95351,               0.006337,               0.006337,               0.006337
                     39,                 1.9531,                 1.3381,                 1.0536,                 0.7141,                 0.5724,                0.62847,                0.26686,                 1.9451,                 1.2758,                0.95143,               0.006238,               0.006238,               0.006238
                     40,                 1.9495,                 1.3385,                 1.0554,                0.72678,                0.56067,                0.63887,                0.27463,                 1.9339,                 1.2311,                0.95208,               0.006139,               0.006139,               0.006139
                     41,                 1.9524,                  1.336,                 1.0583,                0.70437,                 0.5761,                0.63404,                0.26936,                 1.9359,                 1.2598,                0.95408,                0.00604,                0.00604,                0.00604
                     42,                 1.9455,                 1.3244,                 1.0525,                0.70056,                0.56746,                0.62514,                0.27008,                  1.932,                 1.2722,                0.95613,               0.005941,               0.005941,               0.005941
                     43,                 1.9313,                 1.3114,                 1.0466,                0.70641,                0.57055,                0.63276,                0.27276,                 1.9528,                 1.2591,                0.95537,               0.005842,               0.005842,               0.005842
                     44,                 1.9377,                 1.3155,                 1.0496,                0.73181,                0.58197,                0.64913,                0.27804,                 1.9001,                 1.2603,                0.94973,               0.005743,               0.005743,               0.005743
                     45,                 1.9171,                 1.2943,                 1.0469,                 0.7062,                0.57809,                0.63341,                 0.2753,                 1.9247,                 1.2331,                0.95838,               0.005644,               0.005644,               0.005644
