                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4407,                 2.8171,                 1.2835,                0.43888,                  0.364,                0.31205,                0.10673,                 2.3728,                 2.0469,                  1.078,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3468,                 1.9767,                 1.2053,                0.51105,                0.40136,                0.37298,                0.14504,                 2.4382,                 2.4757,                 1.0914,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.4491,                 2.0512,                 1.2519,                 0.3399,                 0.3214,                0.23105,                0.06969,                 2.6178,                 2.5663,                 1.1412,              0.0097966,              0.0097966,              0.0097966
                      4,                  2.432,                 2.0257,                 1.2713,                0.46685,                0.40599,                0.34577,                0.11575,                 2.4422,                 1.7742,                  1.108,               0.009703,               0.009703,               0.009703
                      5,                 2.3597,                 1.9028,                 1.2364,                0.50559,                0.39148,                0.35331,                0.11265,                 2.5401,                 2.1808,                 1.1241,               0.009604,               0.009604,               0.009604
                      6,                 2.3335,                 1.8215,                 1.2196,                0.53237,                0.41494,                0.38508,                0.13626,                 2.4193,                  1.903,                 1.0876,               0.009505,               0.009505,               0.009505
                      7,                 2.2949,                  1.775,                  1.199,                0.56417,                0.44001,                0.41963,                0.14236,                 2.4031,                 1.7355,                 1.0751,               0.009406,               0.009406,               0.009406
                      8,                 2.2496,                  1.732,                 1.1805,                 0.6225,                0.46866,                0.49323,                0.18497,                 2.2781,                 1.6722,                  1.048,               0.009307,               0.009307,               0.009307
                      9,                 2.1983,                  1.697,                  1.173,                0.59832,                0.49398,                0.48771,                0.17157,                 2.2661,                 1.7576,                 1.0431,               0.009208,               0.009208,               0.009208
                     10,                 2.2089,                 1.6657,                 1.1719,                0.59273,                0.46588,                0.47865,                0.17739,                 2.2546,                 1.7466,                 1.0478,               0.009109,               0.009109,               0.009109
                     11,                 2.1767,                  1.632,                 1.1622,                0.59924,                0.47823,                0.49557,                0.19335,                 2.1937,                 1.7127,                 1.0407,                0.00901,                0.00901,                0.00901
                     12,                 2.1752,                 1.6272,                 1.1548,                0.62638,                 0.4983,                0.51682,                0.19497,                 2.1928,                 1.4532,                 1.0401,               0.008911,               0.008911,               0.008911
                     13,                 2.1408,                 1.5887,                 1.1502,                0.66419,                 0.4995,                0.52572,                0.19651,                 2.2121,                 1.5331,                 1.0375,               0.008812,               0.008812,               0.008812
                     14,                 2.1262,                 1.5658,                 1.1444,                0.62779,                0.51621,                0.54524,                 0.2086,                 2.1513,                 1.4689,                 1.0169,               0.008713,               0.008713,               0.008713
                     15,                 2.1282,                 1.5419,                 1.1355,                0.62696,                0.49552,                0.53749,                0.21315,                  2.145,                  1.395,                 1.0164,               0.008614,               0.008614,               0.008614
                     16,                 2.1001,                 1.5378,                 1.1424,                0.63574,                0.50866,                0.54229,                0.20589,                 2.1152,                 1.4222,                 1.0076,               0.008515,               0.008515,               0.008515
                     17,                 2.0945,                 1.5085,                 1.1329,                0.65589,                0.52432,                0.56214,                0.23311,                 2.1089,                 1.3586,                 1.0113,               0.008416,               0.008416,               0.008416
                     18,                 2.0783,                 1.4925,                 1.1272,                0.63015,                0.52547,                0.56045,                0.22168,                 2.1348,                 1.4613,                 1.0133,               0.008317,               0.008317,               0.008317
                     19,                 2.0627,                 1.4943,                 1.1218,                0.65518,                0.53134,                0.56409,                0.22847,                 2.1111,                  1.385,                 1.0104,               0.008218,               0.008218,               0.008218
                     20,                 2.0559,                 1.4828,                 1.1169,                0.68675,                0.53134,                0.57318,                0.23408,                 2.0866,                 1.4083,                 1.0058,               0.008119,               0.008119,               0.008119
                     21,                  2.035,                 1.4414,                 1.1212,                0.65887,                 0.5301,                0.55366,                0.22473,                 2.0734,                 1.4199,                 1.0002,                0.00802,                0.00802,                0.00802
                     22,                 2.0458,                 1.4565,                 1.1184,                0.65389,                0.52825,                0.56521,                0.23081,                  2.108,                 1.3893,                 1.0114,               0.007921,               0.007921,               0.007921
                     23,                 2.0359,                 1.4326,                 1.1162,                0.68608,                0.54588,                0.59515,                0.24503,                 2.0398,                 1.3217,                 0.9976,               0.007822,               0.007822,               0.007822
                     24,                 2.0134,                 1.4085,                 1.1026,                0.69415,                0.53906,                 0.5943,                0.24645,                 2.0403,                 1.3604,                 1.0006,               0.007723,               0.007723,               0.007723
                     25,                 2.0101,                 1.4115,                 1.1086,                0.70604,                0.54245,                0.60148,                0.24999,                 2.0452,                 1.2686,                  0.997,               0.007624,               0.007624,               0.007624
                     26,                 2.0037,                 1.3943,                 1.1041,                0.69308,                0.55774,                0.60548,                0.24837,                 2.0316,                 1.3216,                 1.0042,               0.007525,               0.007525,               0.007525
                     27,                 2.0086,                 1.3912,                 1.1069,                 0.6841,                 0.5548,                0.60137,                0.25237,                 1.9985,                 1.2903,                0.99781,               0.007426,               0.007426,               0.007426
                     28,                 1.9885,                 1.3842,                 1.1017,                0.68017,                0.55665,                0.60018,                0.25393,                 1.9898,                 1.2813,                0.99449,               0.007327,               0.007327,               0.007327
                     29,                  1.972,                 1.3603,                 1.0898,                0.69372,                0.53597,                0.60377,                0.25879,                 1.9992,                 1.2981,                 0.9942,               0.007228,               0.007228,               0.007228
                     30,                 1.9713,                 1.3661,                 1.0938,                0.69919,                0.57121,                0.62857,                0.26148,                 1.9768,                  1.279,                0.98424,               0.007129,               0.007129,               0.007129
                     31,                 1.9653,                 1.3449,                 1.0947,                0.69515,                0.55898,                0.61606,                0.25945,                 1.9764,                 1.2986,                 0.9849,                0.00703,                0.00703,                0.00703
                     32,                 1.9713,                 1.3635,                 1.0973,                0.68937,                0.56468,                0.61378,                0.26153,                 1.9709,                 1.2639,                0.98732,               0.006931,               0.006931,               0.006931
                     33,                 1.9632,                 1.3447,                  1.089,                0.68472,                 0.5761,                0.62893,                0.27296,                 1.9106,                 1.2183,                0.97482,               0.006832,               0.006832,               0.006832
                     34,                 1.9503,                 1.3339,                 1.0898,                0.67307,                0.58043,                0.61665,                0.26277,                 1.9301,                 1.2754,                0.98438,               0.006733,               0.006733,               0.006733
